artist,song,mel,rms(mean),rms(var),sc(mean),sc(var),zcr(mean),zcr(var),duration,bpm
"AP Dhillon, Gurinder Gill, Intense",01 Excuses.wav,"[[0.0000000e+00 0.0000000e+00 5.0189664e-10 ... 8.3460266e+01
  4.5573189e+01 2.3434542e+01]
 [0.0000000e+00 0.0000000e+00 2.6877850e-10 ... 3.3486061e+01
  1.8867523e+01 9.3648987e+00]
 [0.0000000e+00 0.0000000e+00 5.0305253e-11 ... 6.4022460e+00
  6.1091429e-01 1.4466451e-01]
 ...
 [0.0000000e+00 0.0000000e+00 7.2782759e-11 ... 2.8045468e-09
  2.3997562e-09 4.7129252e-09]
 [0.0000000e+00 0.0000000e+00 1.0433411e-10 ... 3.4280856e-09
  3.4585754e-09 3.4226553e-09]
 [0.0000000e+00 0.0000000e+00 9.3574024e-11 ... 2.7637954e-09
  3.0859693e-09 3.0532925e-09]]",0.18129887,0.014955349,2588.402876743198,1263533.1641061746,0.07641261428502322,0.002184917118030159,30.0,95.703125
"AP Dhillon, Shinda Kahlon, Gurinder Gill, Gminxr",01 Insane.wav,"[[0.0000000e+00 2.3982077e-10 4.9961269e-02 ... 6.8053226e-03
  5.9671472e-03 7.3285140e-03]
 [0.0000000e+00 6.2615371e-11 2.6625417e-02 ... 4.6651193e-01
  6.7155319e-01 2.9476908e-01]
 [0.0000000e+00 2.1043452e-11 4.7270609e-03 ... 3.1466751e+00
  3.9313352e+00 1.8246434e+00]
 ...
 [0.0000000e+00 5.3602487e-11 1.1410498e-09 ... 3.2333718e-09
  3.1695739e-09 2.7784328e-09]
 [0.0000000e+00 4.1101671e-11 1.2601834e-09 ... 4.2628092e-09
  3.0852469e-09 2.9477631e-09]
 [0.0000000e+00 3.1519804e-11 1.1621643e-09 ... 3.2625347e-09
  3.1825249e-09 2.9252534e-09]]",0.09118011,0.002466793,1137.9858243763597,575149.3633499603,0.02525910652089783,0.00028236404407391055,30.0,99.38401442307692
Aditya A,01 Chaand Baaliyan.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 5.3490199e-02
  2.2524986e-02 4.0925503e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 8.8260368e-02
  2.8132111e-02 1.8922803e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.4691466e-01
  4.5529941e-01 4.2647609e-01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.7728346e-09
  3.3155965e-09 3.0027913e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.5634159e-09
  3.8518739e-09 4.2911958e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.0556104e-09
  2.7759828e-09 2.4454498e-09]]",0.1369016,0.006533214,1905.3681575397113,1949192.5567776004,0.030623775517608358,0.0012969804409256886,30.0,123.046875
Alec Benjamin,04 Let Me Down Slowly.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.1454847e-02
  1.6198913e-03 2.6149571e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.0480473e-01
  9.1796376e-02 6.8461202e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.0690337e+00
  6.4234287e-01 8.9773434e-01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.6198224e-09
  2.5434177e-09 2.6506233e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.4601157e-09
  3.3836900e-09 3.1317862e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.8140090e-09
  3.9153840e-09 3.3584742e-09]]",0.08662547,0.002363861,2252.8414461961834,2783029.698656061,0.04098652464686533,0.0026235924436932958,30.0,156.60511363636363
Ali Zafar,11 Jhoom - R_B Mix.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.1637386e+02
  1.1764354e+02 3.0594019e+01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.9007755e+02
  2.6486575e+02 6.4244003e+01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 7.9398178e+01
  2.7650724e+01 5.9792666e+00]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.2945731e-09
  4.6541468e-09 6.2838531e-08]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.6807654e-09
  3.5521626e-09 3.3020899e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.1841033e-09
  3.0370002e-09 2.2297195e-09]]",0.08153314,0.0053621754,2765.2656912145685,3817570.8655678043,0.04686706354005418,0.0022725185481883296,30.0,80.74951171875
"Alka Yagnik, Arijit Singh",14 Agar Tum Saath Ho (From _Tamasha_).wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.2643358e-03
  5.7753669e-03 8.5028214e-03]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.6616298e-03
  7.1691577e-03 1.8993732e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.0138643e-03
  2.7056938e-02 1.4792727e+00]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.0944034e-09
  3.1554539e-09 3.7735899e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.7371723e-09
  2.9575340e-09 2.8696521e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.7847609e-09
  2.3535487e-09 2.0915447e-09]]",0.10128572,0.002124499,1234.0554758526796,1256571.4782712369,0.03223941200657895,0.0007876820433736139,30.0,123.046875
Anirudh Ravichander,02 Vikram - Title Track.wav,"[[7.3627959e-10 2.5665043e-09 1.0534506e-08 ... 2.1324115e+02
  2.0233780e+02 2.4557454e+02]
 [5.3284110e-10 1.2514829e-09 8.6796508e-09 ... 3.2712442e+02
  3.6161584e+02 4.5915421e+02]
 [6.5510444e-11 2.0138047e-09 3.9150860e-09 ... 7.0216522e+01
  5.2784473e+01 8.7955322e+01]
 ...
 [4.3011994e-10 1.4359803e-09 2.2054185e-09 ... 3.1448311e-09
  3.2179912e-09 2.8743035e-09]
 [3.0132433e-10 1.9261339e-09 2.7764602e-09 ... 3.7873185e-09
  4.9341065e-09 2.9344618e-09]
 [4.4032938e-10 1.7487568e-09 2.8673313e-09 ... 2.8639318e-09
  3.0298681e-09 3.0515199e-09]]",0.22257046,0.009729663,2084.114462810375,3684863.535117229,0.03659312717685759,0.0056727703439949295,30.0,166.70866935483872
Anirudh Ravichander,05 Once Upon a Time.wav,"[[9.8000064e-10 6.1458501e-09 8.7356122e-10 ... 1.0550476e+03
  2.4154492e+03 2.2494586e+02]
 [6.1798233e-10 1.2863959e-09 1.2260971e-09 ... 9.1143689e+02
  1.8313167e+03 4.2676956e+02]
 [2.9324456e-11 6.3382621e-10 1.9391244e-09 ... 4.3790988e+02
  3.7687006e+02 2.4949345e+02]
 ...
 [5.5128591e-10 1.8780730e-09 3.7193364e-09 ... 1.2580862e-06
  2.4028850e-06 2.4990442e-08]
 [3.3954664e-10 1.3215745e-09 3.4350292e-09 ... 1.2605741e-06
  2.8677512e-06 3.1091226e-08]
 [2.9243793e-10 2.4000544e-09 1.9062494e-09 ... 1.1686677e-06
  3.5036503e-06 3.9570175e-08]]",0.2753819,0.010699547,1265.2739715746043,2002460.1586294633,0.02717141544117647,0.0031963201238687424,30.0,123.046875
"Anirudh Ravichander, Anthony Daasan",01 Dippam Dappam (From _Kaathuvaakula Rendu Kaadhal_).wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 9.0829744e+00
  1.5311794e+01 1.3188686e+01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.3811693e+00
  1.0798753e+01 1.1146304e+01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.2421069e+00
  1.5583810e+00 2.0149531e+00]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.4705982e-09
  3.0969711e-09 3.3650114e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.2442870e-09
  2.3396589e-09 3.0035165e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.9131928e-09
  2.9189604e-09 3.3378875e-09]]",0.04949787,0.00055118086,2105.290155057794,808627.5036287698,0.03627151158571981,0.00037601022741521245,30.0,123.046875
"Anirudh Ravichander, Jonita Gandhi",01 Arabic Kuthu - Halamithi Habibo (From _Beast_).wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.4288998e+01
  6.0384277e+01 4.1453098e+01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.4225281e+02
  1.8132411e+02 1.3687407e+02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.8544624e+01
  7.7101707e+01 7.9731766e+01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.5983873e-09
  3.2861334e-09 3.2928682e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.9880046e-09
  3.3017937e-09 2.7275713e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.9319685e-09
  2.2063460e-09 1.8469077e-09]]",0.17359336,0.008750196,2488.9002162572892,1225228.2782580063,0.0388863861745356,0.0015854647142231316,30.0,123.046875
