artist,song,mel,rms(mean),rms(var),sc(mean),sc(var),zcr(mean),zcr(var),duration,bpm
23,01 Bla bla (Intro).wav,"[[9.2907537e-18 1.9965177e-07 5.3759522e-05 ... 1.0368312e+01
  2.1819380e+01 3.0847962e+00]
 [1.0831540e-17 3.7647169e-07 4.6950622e-04 ... 4.2791686e+00
  1.3855024e+01 2.5564508e+00]
 [9.7949285e-18 1.5023627e-06 2.9648715e-04 ... 8.9626426e-01
  4.1875539e+00 1.3817933e+01]
 ...
 [1.7269624e-18 1.2920545e-09 3.3668289e-08 ... 1.7375744e-08
  7.2876639e-07 6.3543177e-07]
 [3.4636100e-19 5.2910731e-10 1.3572617e-09 ... 1.1844731e-09
  1.3637542e-09 1.4191606e-09]
 [3.7777706e-19 5.5538218e-10 1.4059730e-09 ... 1.8123965e-09
  1.8760566e-09 1.1652316e-09]]",0.14591607,0.008809187,2293.129278111599,1184585.2391702612,0.052493257788312694,0.0012410367883145617,30.0,135.99917763157896
"Alesso, Zara Larsson",01 Words (feat. Zara Larsson).wav,"[[0.0000000e+00 6.4441608e-09 1.4698058e-05 ... 7.1062580e-02
  5.4805232e-03 3.6784161e-02]
 [0.0000000e+00 7.0070660e-09 1.9100349e-05 ... 1.2870550e-01
  1.5616949e-01 1.5115210e-01]
 [0.0000000e+00 5.6542975e-09 1.5328083e-05 ... 3.5725677e+00
  4.3069644e+00 2.3075731e+00]
 ...
 [0.0000000e+00 5.4541067e-13 1.1669655e-09 ... 3.2316273e-06
  1.5824342e-06 2.0849986e-07]
 [0.0000000e+00 4.8834797e-13 1.1069309e-09 ... 3.2372336e-09
  1.7982066e-09 2.2752586e-09]
 [0.0000000e+00 8.6598014e-13 7.6049117e-10 ... 1.1247427e-09
  1.3134942e-09 1.6340811e-09]]",0.15915212,0.0037798414,2620.256999378204,2234223.977161076,0.05850531516060371,0.0026221702746922477,30.0,126.04801829268293
Ant Wan,01 Komplicerat.wav,"[[0.00000000e+00 1.65497058e-03 9.62778926e-03 ... 1.19095116e+02
  1.47481873e+02 1.40367416e+02]
 [0.00000000e+00 7.94338621e-03 1.82132721e-01 ... 1.07772302e+03
  1.12435474e+03 1.05562317e+03]
 [0.00000000e+00 1.17047820e-02 6.05643702e+00 ... 3.64736450e+02
  3.82525909e+02 3.50062775e+02]
 ...
 [0.00000000e+00 1.86762966e-10 6.43867493e-09 ... 7.37340144e-07
  2.71272279e-06 1.93095707e-06]
 [0.00000000e+00 9.53796417e-11 1.20490140e-09 ... 3.64701151e-07
  1.85744842e-08 4.51573312e-09]
 [0.00000000e+00 9.35773681e-11 1.31387878e-09 ... 3.65908562e-07
  1.41133789e-08 1.81027549e-09]]",0.23670308,0.011462538,2319.9400809320896,2584504.322347339,0.04559042726876935,0.001674856359737733,30.0,132.51201923076923
BELL,01 MISSFÖRSTÅTT.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.8485130e+01
  5.6585751e+00 2.5871517e+01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.6608893e+02
  6.9490959e+01 5.2542114e+02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.3620996e+02
  1.9763217e+02 2.5820108e+02]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.4607725e-08
  3.8214726e-08 1.7987133e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.2631082e-09
  1.7886242e-09 1.0705733e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.6820411e-09
  1.5793613e-09 1.1640786e-09]]",0.23580904,0.0114386985,1961.185748583846,1484623.1835206612,0.03929757038506192,0.001049269565889999,30.0,109.95678191489361
Babblarna,01 Babblarnas vaggvisa.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.5592095e-01
  1.4302717e-01 2.0500660e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.5905826e+01
  5.7219189e+01 4.6209221e+01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.9480804e+01
  1.7393939e+02 1.4859520e+02]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.5769282e-06
  5.4926295e-07 4.3362570e-06]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.5937570e-09
  1.6836054e-09 4.4578412e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.2163975e-09
  1.1401348e-09 1.0137827e-09]]",0.077918366,0.003925057,1233.3125311226654,1172903.5593374188,0.02461927667859907,0.00043980012159592784,30.0,92.28515625
Benson Boone,01 In The Stars.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 7.9847962e-01
  1.7295665e-01 9.5490336e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 9.8701841e-01
  5.2530813e-01 6.4626330e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.2320220e+00
  4.5547833e+00 2.8613564e-01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.5864663e-09
  4.4952957e-09 2.9831675e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.5460808e-09
  1.8345511e-09 1.4455627e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.5914376e-09
  1.5544671e-09 1.3043525e-09]]",0.097384155,0.007682592,2327.3583983655367,2277401.6473737354,0.050736276726973686,0.003789221915570148,30.0,143.5546875
Beyoncé,01 BREAK MY SOUL.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.2323118e+03
  7.9074615e+02 6.5408582e+02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.0548893e+03
  6.1076984e+02 6.5041187e+02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.4816475e+01
  2.1106710e+01 3.4474617e+01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 9.3306241e-10
  1.1520895e-09 1.5598738e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 9.5208341e-10
  1.7752554e-09 1.9050670e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.4672057e-09
  1.5950431e-09 1.1821550e-09]]",0.19138147,0.028486924,1851.2125315940839,1755613.1158002685,0.03873294794891641,0.0016322695927524456,30.0,114.84375
Bolaget,01 Kan Inte Gå.wav,"[[1.8653400e-06 7.6159574e-07 2.9103168e-07 ... 1.2450148e-02
  2.3962801e-02 1.6325312e-02]
 [2.8644795e-08 3.0096643e-08 4.8912221e-09 ... 1.4369380e-02
  8.8492408e-02 1.7195299e-01]
 [9.6186570e-09 1.4731469e-08 9.6704165e-09 ... 1.7817469e-01
  8.8763446e-02 2.1960329e-01]
 ...
 [1.0004861e-09 2.5327722e-09 4.2295847e-09 ... 4.8525890e-06
  6.3312264e-06 1.1378867e-05]
 [6.3465472e-10 2.1217323e-09 1.3107674e-09 ... 2.6786502e-09
  3.1924376e-09 2.1916466e-09]
 [9.0946928e-10 1.5315728e-09 1.3153334e-09 ... 1.4354871e-09
  1.3816152e-09 1.2359078e-09]]",0.09877934,0.0013743889,2880.289285569249,2981776.317345716,0.05704198311726006,0.004176361836834876,30.0,139.6748310810811
Cornelia Jakobs,01 Hold Me Closer.wav,"[[0.0000000e+00 1.6144596e-15 1.0312249e-08 ... 4.4740271e-02
  1.8379597e-01 4.2283881e-02]
 [0.0000000e+00 1.8875744e-15 3.1931462e-09 ... 2.5756507e+00
  3.3798823e+00 5.8153138e+00]
 [0.0000000e+00 1.7144849e-15 5.5957661e-10 ... 6.2683539e+00
  9.3558064e+00 9.8986607e+00]
 ...
 [0.0000000e+00 1.7346809e-15 7.9493762e-10 ... 1.8461973e-09
  1.7664419e-09 1.6449753e-09]
 [0.0000000e+00 1.7851609e-15 6.5460187e-10 ... 1.5042647e-09
  1.4525249e-09 1.6890069e-09]
 [0.0000000e+00 7.9745394e-16 8.7818008e-10 ... 1.4688210e-09
  1.7265286e-09 1.4493534e-09]]",0.17883244,0.0077332566,2330.9896435602363,1370606.055661278,0.04185084292763158,0.001528267103238391,30.0,120.18531976744185
Dani M,01 Vidare.wav,"[[4.9660810e-07 7.5304978e-02 2.7118319e-01 ... 1.8009619e+00
  1.6274475e+00 1.0774630e+00]
 [7.2574194e-06 2.7600381e-01 2.9901493e-01 ... 4.0629160e+02
  3.9742865e+02 3.8491855e+02]
 [1.7017414e-06 3.0529422e-01 6.9749624e-01 ... 5.0552899e+02
  4.8950998e+02 4.8238983e+02]
 ...
 [1.5264608e-09 2.8514998e-07 9.8632018e-09 ... 3.6558212e-08
  1.5469290e-06 1.3781227e-05]
 [7.7241125e-10 2.5001119e-09 1.3246005e-09 ... 1.5786890e-09
  9.9647357e-09 5.0520629e-08]
 [7.5094447e-10 1.4351698e-09 1.7370907e-09 ... 1.3623758e-09
  1.9821664e-09 1.8580928e-09]]",0.10658571,0.015931277,2110.9666263974136,1154764.6684873856,0.03810445590654025,0.0007843058068023132,30.0,97.50884433962264
