,artist,song,mel,rms(mean),rms(var),sc(mean),sc(var),zcr(mean),zcr(var),duration,bpm
0,23,01 Bla bla (Intro).wav,"[[9.2907537e-18 1.9965177e-07 5.3759522e-05 ... 1.3859148e-04
  5.7105030e-05 2.2557129e-04]
 [1.0831540e-17 3.7647169e-07 4.6950622e-04 ... 2.3952307e-04
  2.0534558e-04 4.3252073e-04]
 [9.7949285e-18 1.5023627e-06 2.9648715e-04 ... 1.8252461e-04
  8.1196806e-04 4.2519945e-04]
 ...
 [1.7269624e-18 1.2920545e-09 3.3668289e-08 ... 6.2511026e-07
  3.2919073e-07 2.1038096e-07]
 [3.4636100e-19 5.2910731e-10 1.3572617e-09 ... 1.5563638e-09
  1.5712091e-09 1.8394676e-09]
 [3.7777706e-19 5.5538218e-10 1.4059730e-09 ... 1.2012366e-09
  1.2766259e-09 2.3588607e-09]]",0.07312236,0.000676285,1497.1337795272916,173589.07493639376,0.0491215469112529,0.0491215469112529,10.0,135.99917763157896
1,"Alesso, Zara Larsson",01 Words (feat. Zara Larsson).wav,"[[0.0000000e+00 6.4441608e-09 1.4698058e-05 ... 1.3761187e-01
  7.0183285e-02 1.1433085e+00]
 [0.0000000e+00 7.0070660e-09 1.9100349e-05 ... 4.1841923e+01
  4.2251999e+01 4.5329388e+01]
 [0.0000000e+00 5.6542975e-09 1.5328083e-05 ... 1.4815971e+02
  1.4332082e+02 1.4423944e+02]
 ...
 [0.0000000e+00 5.4541067e-13 1.1669655e-09 ... 2.6456624e-07
  1.5472826e-06 3.1647949e-06]
 [0.0000000e+00 4.8834797e-13 1.1069309e-09 ... 1.2140010e-09
  1.6386161e-09 1.7994137e-07]
 [0.0000000e+00 8.6598014e-13 7.6049117e-10 ... 9.1398727e-10
  1.0462505e-09 1.7951714e-07]]",0.12098335,0.004318256,2172.4500555441746,2189489.5687591513,0.05195380474187935,0.05195380474187935,10.0,62.26468373493976
2,Ant Wan,01 Komplicerat.wav,"[[0.0000000e+00 1.6549706e-03 9.6277893e-03 ... 3.3844236e-02
  7.1755603e-02 5.0293970e-01]
 [0.0000000e+00 7.9433862e-03 1.8213272e-01 ... 2.6220948e-02
  1.8158950e-01 7.2677529e-01]
 [0.0000000e+00 1.1704782e-02 6.0564370e+00 ... 1.4842124e-01
  2.4341492e-01 1.3468245e+00]
 ...
 [0.0000000e+00 1.8676297e-10 6.4386749e-09 ... 7.0378490e-05
  2.6978682e-06 3.3672941e-07]
 [0.0000000e+00 9.5379642e-11 1.2049014e-09 ... 4.1091272e-07
  2.0463851e-08 3.3136973e-09]
 [0.0000000e+00 9.3577368e-11 1.3138788e-09 ... 1.7821490e-09
  1.5677254e-09 3.6065724e-09]]",0.1670402,0.0046224915,657.6885631276068,335393.04369327176,0.017938388196055685,0.017938388196055685,10.0,132.51201923076923
3,BELL,01 MISSFÖRSTÅTT.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 5.9535728e+00
  7.1480536e+00 4.7497878e+00]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.3837494e+02
  3.4935239e+02 2.4748306e+02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.9972839e+02
  3.0304016e+02 2.3184277e+02]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.4510304e-04
  3.4900487e-04 3.3655291e-05]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.9468168e-07
  7.4046028e-08 1.8135471e-07]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.7573329e-09
  1.0942764e-09 5.5015612e-08]]",0.15375188,0.0069330265,1369.1077649579136,1047413.2452016122,0.03255963602088167,0.03255963602088167,10.0,109.95678191489361
4,Babblarna,01 Babblarnas vaggvisa.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.2840235e-03
  6.9648027e-04 1.8059947e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.8506173e-03
  7.6912134e-04 1.2763116e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.3470369e-03
  4.2450774e-04 1.6265346e-02]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.6470615e-09
  1.5463002e-09 1.3691005e-08]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.3824538e-09
  1.8342668e-09 1.0697710e-08]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.1646699e-09
  1.6705720e-09 1.1306127e-08]]",0.039747834,0.0006867662,889.235932549053,1027957.0878687396,0.025464263703596286,0.025464263703596286,10.0,184.5703125
5,Benson Boone,01 In The Stars.wav,"[[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.60519462e-02
  9.20052007e-02 1.27050996e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.16094880e-01
  5.55227622e-02 1.16072245e-01]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 4.85102385e-02
  3.67610641e-02 3.51905853e-01]
 ...
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.77296233e-09
  4.57803351e-09 1.10407647e-07]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.10474349e-09
  1.73985704e-09 1.04166382e-07]
 [0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.75520865e-09
  1.69227232e-09 1.02633471e-07]]",0.07201459,0.0067829154,2609.5731844992997,2888745.0998481754,0.057975184889791184,0.057975184889791184,10.0,135.99917763157896
6,Beyoncé,01 BREAK MY SOUL.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.1988854e-03
  3.9136037e-03 2.4813583e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.1179594e-02
  4.0430058e-02 7.4531108e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.6324835e-01
  1.8991350e-01 2.5373325e-01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.8681946e-09
  2.3321913e-09 8.5700538e-07]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.8285538e-09
  2.0925375e-09 8.2963578e-07]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.1022684e-09
  2.6901075e-09 8.1541447e-07]]",0.024277974,0.002117637,622.6442175887925,1324712.1289956593,0.01896479843387471,0.01896479843387471,10.0,129.19921875
7,Bolaget,01 Kan Inte Gå.wav,"[[1.8653400e-06 7.6159574e-07 2.9103168e-07 ... 2.9030050e+01
  2.9222218e+01 2.7295805e+01]
 [2.8644795e-08 3.0096643e-08 4.8912221e-09 ... 3.9288189e+01
  3.6672184e+01 3.3882210e+01]
 [9.6186570e-09 1.4731469e-08 9.6704165e-09 ... 2.0718092e+01
  2.2454525e+01 2.1716621e+01]
 ...
 [1.0004861e-09 2.5327722e-09 4.2295847e-09 ... 1.2786558e-09
  1.3325732e-09 5.9119913e-08]
 [6.3465472e-10 2.1217323e-09 1.3107674e-09 ... 1.4201202e-09
  1.2625054e-09 5.4425904e-08]
 [9.0946928e-10 1.5315728e-09 1.3153334e-09 ... 1.1573988e-09
  1.4463113e-09 5.2117741e-08]]",0.08067054,0.0008041126,2984.801522592965,3209323.5860423422,0.06183045424883991,0.06183045424883991,10.0,143.5546875
8,Cornelia Jakobs,01 Hold Me Closer.wav,"[[0.0000000e+00 1.6144596e-15 1.0312249e-08 ... 2.6764628e-02
  2.5850985e-02 4.8383009e-02]
 [0.0000000e+00 1.8875744e-15 3.1931462e-09 ... 2.3516817e+00
  1.8156201e+00 1.9468422e+00]
 [0.0000000e+00 1.7144849e-15 5.5957661e-10 ... 4.1034851e+00
  2.7823436e+00 2.4965305e+00]
 ...
 [0.0000000e+00 1.7346809e-15 7.9493762e-10 ... 1.2853871e-09
  1.1093869e-09 1.6534891e-09]
 [0.0000000e+00 1.7851609e-15 6.5460187e-10 ... 1.0130561e-09
  1.2109258e-09 1.9905524e-09]
 [0.0000000e+00 7.9745394e-16 8.7818008e-10 ... 1.4799918e-09
  1.7959543e-09 2.2075992e-09]]",0.13456978,0.00867659,2418.9332142174003,2311957.8045979817,0.0434502338312065,0.0434502338312065,10.0,117.45383522727273
9,Dani M,01 Vidare.wav,"[[4.9660810e-07 7.5304978e-02 2.7118319e-01 ... 2.2722587e-01
  2.8464887e-02 4.7257645e-03]
 [7.2574194e-06 2.7600381e-01 2.9901493e-01 ... 2.2512089e-01
  2.0784004e-02 6.8890136e-03]
 [1.7017414e-06 3.0529422e-01 6.9749624e-01 ... 4.5181027e-01
  2.0758973e-01 4.2335246e-02]
 ...
 [1.5264608e-09 2.8514998e-07 9.8632018e-09 ... 9.2386223e-09
  4.9251323e-09 6.2601289e-09]
 [7.7241125e-10 2.5001119e-09 1.3246005e-09 ... 1.4493636e-09
  1.2593172e-09 1.7003895e-09]
 [7.5094447e-10 1.4351698e-09 1.7370907e-09 ... 1.6049196e-09
  1.1937817e-09 1.2108345e-09]]",0.040394716,0.0010774994,1755.682810378712,713744.6742836635,0.0382875942575406,0.0382875942575406,10.0,97.50884433962264
