artist,song,mel,rms(mean),rms(var),sc(mean),sc(var),zcr(mean),zcr(var),duration,bpm
Bad Bunny,01 Moscow Mule.wav,"[[8.1537850e-04 1.5700816e-03 1.1976372e-02 ... 2.8752094e+01
  1.8746233e+01 1.3771199e+01]
 [2.4056848e-04 2.3496386e-02 7.0006251e-02 ... 3.2337683e+02
  1.7703291e+02 1.3453882e+02]
 [3.1044552e-04 8.1046507e-02 3.3064842e-01 ... 1.7067339e+02
  4.8345230e+01 4.4100754e+01]
 ...
 [5.2492929e-08 1.4220818e-07 1.1242135e-07 ... 3.7517188e-07
  2.4127742e-06 1.4006848e-06]
 [1.8272915e-09 1.1203405e-09 1.0136515e-09 ... 2.6351958e-09
  1.1175313e-08 1.3971280e-08]
 [1.4258775e-09 8.7755209e-10 1.1039322e-09 ... 1.0364821e-09
  1.7689856e-09 1.7935093e-09]]",0.15655069,0.0063533857,1906.1981562124136,1195856.1008582464,0.031455970031927245,0.0004529563827944917,30.0,99.38401442307692
Bad Bunny,02 Después de la Playa.wav,"[[0.0000000e+00 5.0436221e-08 7.8129542e-06 ... 4.4685206e+00
  4.8891778e+00 5.3177185e+00]
 [0.0000000e+00 3.5693059e-08 7.5753842e-06 ... 6.7151456e+00
  6.4016075e+00 6.9224901e+00]
 [0.0000000e+00 1.4438056e-08 7.9802503e-06 ... 6.5080729e+00
  7.1013155e+00 7.3139071e+00]
 ...
 [0.0000000e+00 2.9490688e-11 8.9742463e-10 ... 1.5977386e-09
  1.4769383e-09 1.2696689e-09]
 [0.0000000e+00 2.8099903e-11 1.0829141e-09 ... 1.4954575e-09
  1.1693945e-09 1.1842197e-09]
 [0.0000000e+00 2.0024128e-11 1.5623570e-09 ... 1.1561748e-09
  1.1545760e-09 1.4116448e-09]]",0.11975987,0.0039057215,2460.3274440005307,1489298.6344866413,0.05400118517801858,0.0008444958574403108,30.0,147.65625
Bad Bunny,04 Tití Me Preguntó.wav,"[[4.9165906e-03 4.0400945e-02 2.9661601e-02 ... 5.0087851e-03
  3.5622358e-02 4.5293570e-02]
 [9.5663602e-03 6.4881131e-02 7.9563305e-02 ... 2.4284393e-02
  2.3566326e-02 2.0104568e-02]
 [3.5461015e-03 6.4863622e-02 3.6641460e-02 ... 8.0545479e-03
  4.0256638e-02 3.2340467e-02]
 ...
 [1.5137482e-09 6.6729680e-09 9.3453254e-09 ... 6.0470818e-08
  1.6339523e-07 8.9911197e-08]
 [1.3693551e-09 1.8900153e-09 1.4741600e-09 ... 1.4201914e-09
  1.6511292e-09 1.2516469e-09]
 [1.2459915e-09 1.3735981e-09 1.5148801e-09 ... 1.8230847e-09
  1.5355768e-09 1.2430302e-09]]",0.03630084,0.0018492568,2029.3208923037582,684500.646018639,0.03660862217008514,0.0007805820879037058,30.0,123.046875
Bad Bunny,10 Efecto.wav,"[[3.1004332e-05 2.5607455e-03 2.5986864e-03 ... 3.5945700e+02
  3.5026529e+02 3.3820682e+02]
 [6.3831056e-04 1.3841769e-03 1.6087469e-02 ... 3.1100677e+02
  2.9154034e+02 2.9825140e+02]
 [8.0883680e-03 6.0304970e-02 4.1426927e-02 ... 5.9614586e+01
  4.7103001e+01 4.1942448e+01]
 ...
 [1.0819139e-08 2.8831815e-07 4.1320419e-07 ... 1.1163319e-05
  3.8077835e-06 1.2743434e-06]
 [9.3366592e-10 1.5135081e-09 1.4779564e-09 ... 2.8956206e-08
  1.3866751e-08 5.6249254e-09]
 [1.1087407e-09 1.2050031e-09 1.5539759e-09 ... 1.2726999e-09
  1.4310449e-09 1.3926201e-09]]",0.10567498,0.004739346,2357.92678891917,1492880.0162335574,0.036792672455495355,0.0009658130823444398,30.0,99.38401442307692
"Bad Bunny, Bomba Estéreo",14 Ojitos Lindos.wav,"[[3.41071002e-03 1.13816909e-03 4.23188042e-03 ... 1.63667183e-02
  7.91585632e-03 1.62306372e-02]
 [6.23885449e-03 1.20266289e-01 1.59330759e-02 ... 4.29353923e-01
  6.02434099e-01 4.56551790e-01]
 [4.38886732e-02 2.41313791e+00 3.17153597e+00 ... 3.79965425e+00
  4.41266918e+00 4.14420319e+00]
 ...
 [1.08059002e-08 5.45534817e-07 2.37020700e-07 ... 1.03670427e-04
  6.72377791e-05 1.01230880e-05]
 [1.76598636e-09 1.67677905e-09 1.86581395e-09 ... 1.31889365e-07
  9.44910781e-08 1.07495355e-08]
 [1.21613364e-09 1.66613934e-09 1.70348924e-09 ... 9.14007092e-10
  1.71552672e-09 1.47710610e-09]]",0.115038455,0.0013979311,1925.0106188553389,1413014.4681750801,0.0416259765625,0.0009114643091756862,30.0,103.359375
"Bad Bunny, Chencho Corleone",03 Me Porto Bonito.wav,"[[2.50731362e-04 6.42524287e-03 1.78159885e-02 ... 3.59014943e-02
  1.38033452e-02 4.33386751e-02]
 [1.39566612e-06 2.55202362e-03 1.14237135e-02 ... 2.55450681e-02
  1.29385367e-02 1.04959970e-02]
 [3.73850089e-05 1.44692487e-04 1.80589985e-02 ... 3.07027046e-02
  2.58188732e-02 2.01211069e-02]
 ...
 [1.19941079e-09 1.43781165e-09 4.86565055e-09 ... 6.83865728e-05
  3.59620535e-05 7.39478992e-06]
 [1.03193154e-09 1.23333155e-09 1.33152811e-09 ... 1.95262103e-07
  1.58247900e-07 2.65859157e-08]
 [8.47507287e-10 1.27928657e-09 1.24166444e-09 ... 1.65772041e-09
  1.31463473e-09 1.58248248e-09]]",0.07631773,0.0028173907,2891.53235772154,1724735.125527816,0.04927067712364551,0.0011514480025326607,30.0,99.38401442307692
"Bad Bunny, Rauw Alejandro",11 Party.wav,"[[3.4770975e-03 3.7747633e-03 6.3010538e-03 ... 4.3819355e+01
  3.7407135e+01 3.7114304e+01]
 [1.9162513e-01 1.0502888e+00 1.1436921e-01 ... 1.2515322e+03
  1.2335791e+03 1.2555814e+03]
 [1.1598043e+00 4.2440844e+00 6.7407811e-01 ... 7.7082910e+02
  8.0165204e+02 8.2190576e+02]
 ...
 [3.4172177e-07 1.0342421e-07 5.3854291e-07 ... 7.3488138e-08
  2.4116315e-07 3.9684539e-07]
 [4.6145057e-09 1.1660499e-09 1.8465122e-09 ... 1.6847104e-09
  1.3013998e-09 1.2407115e-09]
 [1.0563498e-09 1.1819195e-09 1.3015921e-09 ... 1.4163511e-09
  9.4697916e-10 1.6272997e-09]]",0.1208198,0.0054333336,2772.85059358404,748585.5169578089,0.06169123693885449,0.0014521598479985186,30.0,97.50884433962264
Beyoncé,01 BREAK MY SOUL.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.2323118e+03
  7.9074615e+02 6.5408582e+02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.0548893e+03
  6.1076984e+02 6.5041187e+02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.4816475e+01
  2.1106710e+01 3.4474617e+01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 9.3306241e-10
  1.1520895e-09 1.5598738e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 9.5208341e-10
  1.7752554e-09 1.9050670e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.4672057e-09
  1.5950431e-09 1.1821550e-09]]",0.19138147,0.028486924,1851.2125315940839,1755613.1158002685,0.03873294794891641,0.0016322695927524456,30.0,114.84375
Brent Faiyaz,01 VILLAIN'S THEME.wav,"[[2.2181966e-06 8.7401077e-07 1.9655266e-05 ... 2.2701630e-02
  1.0960661e-03 1.2418683e-01]
 [9.0063878e-07 2.4108633e-06 1.7609369e-05 ... 8.3245134e-01
  1.1950219e+00 6.3367778e-01]
 [1.1378472e-07 1.8139194e-06 1.5059098e-06 ... 2.3007801e+01
  2.3202330e+01 1.6340675e+01]
 ...
 [2.2169064e-09 2.6032418e-09 1.4927213e-09 ... 3.3407844e-08
  2.5807491e-08 2.8467747e-08]
 [1.3407475e-09 1.3300404e-09 1.5645039e-09 ... 1.2557653e-09
  1.1616335e-09 1.2687383e-09]
 [1.3329474e-09 1.1206209e-09 1.7185781e-09 ... 1.0893517e-09
  1.4526489e-09 1.5853647e-09]]",0.13224757,0.013396183,780.6108537793846,446553.9599226357,0.014565293633900928,0.00015040900661105535,30.0,132.51201923076923
Brent Faiyaz,02 LOOSE CHANGE.wav,"[[0.0000000e+00 8.8685766e-08 4.9525197e-04 ... 1.0229437e+00
  6.8022782e-01 1.5971145e-01]
 [0.0000000e+00 1.3602101e-07 1.7605943e-03 ... 2.0687175e+00
  2.7892094e+00 1.1693348e+00]
 [0.0000000e+00 1.6299818e-07 1.3940299e-03 ... 4.6507853e-01
  1.1801113e+00 9.8495972e-01]
 ...
 [0.0000000e+00 7.6979230e-12 1.7357384e-09 ... 1.0644395e-08
  1.6180165e-08 2.4549166e-08]
 [0.0000000e+00 4.3648405e-12 1.1113069e-09 ... 9.4009711e-10
  8.0101775e-10 1.6889491e-09]
 [0.0000000e+00 5.0889098e-12 1.4926526e-09 ... 9.7611930e-10
  9.2439889e-10 1.1125346e-09]]",0.14887856,0.02507818,1162.0457104803284,682730.3740768497,0.023209610221555727,0.0004300955960044641,30.0,166.70866935483872
