,artist,song,mel,rms(mean),rms(var),sc(mean),sc(var),zcr(mean),zcr(var),duration,bpm
0,Bad Bunny,04 Tití Me Preguntó.wav,"[[4.9165906e-03 4.0400945e-02 2.9661601e-02 ... 8.8252765e-01
  8.6080801e-01 3.4134543e-01]
 [9.5663602e-03 6.4881131e-02 7.9563305e-02 ... 1.5409668e-01
  2.2802754e-01 1.1680712e-01]
 [3.5461015e-03 6.4863622e-02 3.6641460e-02 ... 3.3739712e-02
  8.3936770e-03 8.3603777e-02]
 ...
 [1.5137482e-09 6.6729680e-09 9.3453254e-09 ... 6.2798001e-08
  1.0624437e-07 5.8360762e-08]
 [1.3693551e-09 1.8900153e-09 1.4741600e-09 ... 1.2976027e-09
  1.0150378e-09 1.6667235e-09]
 [1.2459915e-09 1.3735981e-09 1.5148801e-09 ... 1.5481528e-09
  1.4074740e-09 1.1459176e-09]]",0.00859627,6.4105143e-06,1661.6943072161948,137398.8377178112,0.03011256525522042,0.03011256525522042,10.0,129.19921875
1,Bad Bunny,10 Efecto.wav,"[[3.1004332e-05 2.5607455e-03 2.5986864e-03 ... 2.1901673e-03
  6.4438386e-03 2.5421057e-03]
 [6.3831056e-04 1.3841769e-03 1.6087469e-02 ... 3.5133593e-02
  2.6244532e-02 8.7558068e-03]
 [8.0883680e-03 6.0304970e-02 4.1426927e-02 ... 1.5691011e-01
  4.2622678e-02 1.8149814e-01]
 ...
 [1.0819139e-08 2.8831815e-07 4.1320419e-07 ... 5.0431998e-07
  1.0577994e-06 1.1206274e-06]
 [9.3366592e-10 1.5135081e-09 1.4779564e-09 ... 1.9043944e-09
  1.8844575e-09 5.7721934e-09]
 [1.1087407e-09 1.2050031e-09 1.5539759e-09 ... 1.4601949e-09
  1.4163336e-09 4.6547846e-09]]",0.06163412,0.0022857354,2045.170990569343,1473946.2131194451,0.03679669373549884,0.03679669373549884,10.0,120.18531976744185
2,"Bad Bunny, Bomba Estéreo",14 Ojitos Lindos.wav,"[[3.4107100e-03 1.1381691e-03 4.2318804e-03 ... 7.5631328e-03
  2.6465754e-03 5.1432587e-02]
 [6.2388545e-03 1.2026629e-01 1.5933076e-02 ... 1.7832173e-02
  1.6050136e-02 5.5043880e-02]
 [4.3888673e-02 2.4131379e+00 3.1715360e+00 ... 5.7509863e-01
  6.0544962e-01 8.1978399e-01]
 ...
 [1.0805900e-08 5.4553482e-07 2.3702070e-07 ... 2.7079844e-07
  3.1223288e-07 4.9501114e-07]
 [1.7659864e-09 1.6767790e-09 1.8658139e-09 ... 2.0802227e-09
  1.2156148e-09 7.5579898e-09]
 [1.2161336e-09 1.6661393e-09 1.7034892e-09 ... 1.6415153e-09
  1.0182554e-09 6.6816290e-09]]",0.084226035,8.366467e-05,1145.0554856670433,193486.8200836264,0.032762425681554526,0.032762425681554526,10.0,103.359375
3,"Bad Bunny, Chencho Corleone",03 Me Porto Bonito.wav,"[[2.50731362e-04 6.42524287e-03 1.78159885e-02 ... 3.57148796e-01
  5.54123104e-01 1.74200967e-01]
 [1.39566612e-06 2.55202362e-03 1.14237135e-02 ... 2.12367296e+00
  7.45500505e-01 5.67482471e-01]
 [3.73850089e-05 1.44692487e-04 1.80589985e-02 ... 5.30427158e-01
  9.04920697e-01 1.92707956e+00]
 ...
 [1.19941079e-09 1.43781165e-09 4.86565055e-09 ... 3.06998991e-05
  2.84650432e-05 3.98123848e-05]
 [1.03193154e-09 1.23333155e-09 1.33152811e-09 ... 3.96742443e-08
  1.05065450e-08 1.58952940e-08]
 [8.47507287e-10 1.27928657e-09 1.24166444e-09 ... 1.26760047e-09
  1.35928757e-09 3.76522724e-09]]",0.03647206,0.00038844923,3153.8459782716354,1168652.759844566,0.06394671729988399,0.06394671729988399,10.0,123.046875
4,"Banda Elemental de Mazatlán Sinaloa, Julión Álvarez y su Norteño Banda",01 Una Raya Más al Tigre.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 7.9264574e-02
  5.5584304e-02 8.4934683e+00]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 9.2471542e+00
  2.7528095e+01 8.0471893e+01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 5.1435287e+01
  1.0687250e+02 4.8326569e+02]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 7.1545021e-04
  3.5721930e-03 2.1935820e-03]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.5062125e-06
  1.5835896e-05 3.3718690e-05]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.7886081e-09
  5.8695289e-09 3.2374763e-05]]",0.19478425,0.016253097,2833.504844084788,2194906.7372383685,0.04585991879350348,0.04585991879350348,10.0,79.50721153846153
5,"Bizarrap, Villano Antillano","01 Villano Antillano_ Bzrp Music Sessions, Vol. 51.wav","[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.0762919e+00
  1.6433249e+00 1.1798586e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.5782302e-02
  1.0320050e+00 6.2520258e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.3216517e-03
  6.1141557e-01 1.4127413e-02]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.0617880e-08
  1.6116252e-03 4.1059116e-05]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.6564410e-09
  3.8713411e-06 3.8123997e-07]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.3602446e-09
  4.7777475e-09 1.9090426e-07]]",0.17018591,0.023632634,2558.1090413849984,3345185.351594269,0.05431364196635731,0.05431364196635731,10.0,129.19921875
6,Dave Bolaño,01 Me Levanté.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 5.3495873e-04
  9.0329821e-04 3.8940567e-03]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.8768135e-03
  1.6123613e-03 7.3149167e-03]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.2894961e-03
  7.4051316e-03 5.2886885e-03]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.1305626e-09
  3.6990100e-09 3.9148818e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.2673188e-09
  1.0443735e-09 3.4704726e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.0661403e-09
  1.1495177e-09 3.6573753e-09]]",0.005019117,4.2957954e-06,3438.0204205971586,1291066.8347751186,0.0860451257975638,0.0860451257975638,10.0,126.04801829268293
7,El Burger,01 No tienes motivacion.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.5997921e-01
  1.1584876e-02 7.9271160e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.2843243e-02
  9.6780965e-03 8.8587413e-03]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.2707523e-03
  2.5080179e-03 4.0535112e-03]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.3533862e-08
  4.2316768e-09 3.2192522e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.1102409e-09
  1.4367939e-09 1.8404183e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.2031235e-09
  1.3754461e-09 1.7781607e-09]]",0.10680624,0.013995747,3403.5056366153676,1855756.9171923855,0.10764618982018562,0.10764618982018562,10.0,120.18531976744185
8,Feid,01 Ferxxo 100.wav,"[[0.0000000e+00 7.5012522e-13 1.5496354e+00 ... 5.6104003e-03
  2.4529255e-03 3.9140177e-01]
 [0.0000000e+00 1.6729643e-12 2.7180130e+00 ... 2.2791104e-01
  1.3462678e-01 5.2977955e-01]
 [0.0000000e+00 2.6877313e-12 3.2000585e+00 ... 3.3067468e-01
  6.1863434e-01 9.0259933e-01]
 ...
 [0.0000000e+00 3.6967679e-14 2.5431692e-04 ... 3.8130946e-08
  5.0120845e-09 1.7469777e-07]
 [0.0000000e+00 1.5948748e-14 1.7320795e-06 ... 1.7202766e-09
  1.3321401e-09 1.5729127e-07]
 [0.0000000e+00 9.6354206e-14 1.3007579e-09 ... 1.5564173e-09
  1.2467006e-09 1.5960315e-07]]",0.14436314,0.0018298943,871.6143757534077,156515.0746205147,0.022766821345707657,0.022766821345707657,10.0,82.03125
9,Fresto Music,08 Me Hace Daño Verte.wav,"[[0.0000000e+00 8.4316998e-06 1.6683069e-04 ... 6.5254986e-02
  4.3710791e-02 7.8201935e-02]
 [0.0000000e+00 7.0449023e-06 1.5355967e-05 ... 3.2097688e-01
  2.1025543e-01 1.3524257e-01]
 [0.0000000e+00 3.6918777e-06 5.7908859e-05 ... 2.6053051e+01
  1.7937069e+01 1.2087607e+01]
 ...
 [0.0000000e+00 4.5860749e-10 1.9262179e-09 ... 2.2087130e-09
  1.3008657e-09 2.8432512e-09]
 [0.0000000e+00 3.0114941e-10 1.2947963e-09 ... 1.2559368e-09
  1.2661011e-09 1.4746981e-09]
 [0.0000000e+00 4.0306034e-10 1.4435064e-09 ... 1.0453881e-09
  1.1064999e-09 1.8087171e-09]]",0.14610966,0.004323942,3504.12855241675,2721082.855990471,0.08556704067575406,0.08556704067575406,10.0,120.18531976744185
