,artist,song,mel,rms(mean),rms(var),sc(mean),sc(var),zcr(mean),zcr(var),duration,bpm
0,Bad Bunny,01 Moscow Mule.wav,"[[8.1537850e-04 1.5700816e-03 1.1976372e-02 ... 5.3820801e+01
  6.2906113e+01 5.0250927e+01]
 [2.4056848e-04 2.3496386e-02 7.0006251e-02 ... 7.7863257e+02
  6.9929565e+02 4.2684720e+02]
 [3.1044552e-04 8.1046507e-02 3.3064842e-01 ... 3.2599271e+02
  2.7019263e+02 1.4678537e+02]
 ...
 [5.2492929e-08 1.4220818e-07 1.1242135e-07 ... 1.2476297e-05
  7.3884685e-06 7.5605039e-06]
 [1.8272915e-09 1.1203405e-09 1.0136515e-09 ... 2.8263147e-09
  7.2039947e-09 2.6632371e-08]
 [1.4258775e-09 8.7755209e-10 1.1039322e-09 ... 1.4009545e-09
  1.3394160e-09 1.5635608e-08]]",0.0902021,0.006363165,1257.93033603024,145963.86255440372,0.024013014791183295,0.024013014791183295,10.0,126.04801829268293
1,Bad Bunny,02 Después de la Playa.wav,"[[0.0000000e+00 5.0436221e-08 7.8129542e-06 ... 8.2532733e-06
  3.6929840e-05 7.8564622e-03]
 [0.0000000e+00 3.5693059e-08 7.5753842e-06 ... 5.6053855e-04
  1.4285570e-03 1.3008537e-02]
 [0.0000000e+00 1.4438056e-08 7.9802503e-06 ... 6.7957668e-03
  3.2743963e-03 2.2276640e-02]
 ...
 [0.0000000e+00 2.9490688e-11 8.9742463e-10 ... 9.6318797e-10
  1.1080962e-09 1.9947355e-09]
 [0.0000000e+00 2.8099903e-11 1.0829141e-09 ... 1.4220203e-09
  9.3871366e-10 1.3749661e-09]
 [0.0000000e+00 2.0024128e-11 1.5623570e-09 ... 1.5833904e-09
  1.3076296e-09 1.2658483e-09]]",0.06682078,0.0026222751,2019.6056327508447,1485453.7212437622,0.04790707475348028,0.04790707475348028,10.0,147.65625
2,Bad Bunny,04 Tití Me Preguntó.wav,"[[4.9165906e-03 4.0400945e-02 2.9661601e-02 ... 8.8252765e-01
  8.6080801e-01 3.4134543e-01]
 [9.5663602e-03 6.4881131e-02 7.9563305e-02 ... 1.5409668e-01
  2.2802754e-01 1.1680712e-01]
 [3.5461015e-03 6.4863622e-02 3.6641460e-02 ... 3.3739712e-02
  8.3936770e-03 8.3603777e-02]
 ...
 [1.5137482e-09 6.6729680e-09 9.3453254e-09 ... 6.2798001e-08
  1.0624437e-07 5.8360762e-08]
 [1.3693551e-09 1.8900153e-09 1.4741600e-09 ... 1.2976027e-09
  1.0150378e-09 1.6667235e-09]
 [1.2459915e-09 1.3735981e-09 1.5148801e-09 ... 1.5481528e-09
  1.4074740e-09 1.1459176e-09]]",0.00859627,6.4105143e-06,1661.6943072161948,137398.8377178112,0.03011256525522042,0.03011256525522042,10.0,129.19921875
3,Bad Bunny,10 Efecto.wav,"[[3.1004332e-05 2.5607455e-03 2.5986864e-03 ... 2.1901673e-03
  6.4438386e-03 2.5421057e-03]
 [6.3831056e-04 1.3841769e-03 1.6087469e-02 ... 3.5133593e-02
  2.6244532e-02 8.7558068e-03]
 [8.0883680e-03 6.0304970e-02 4.1426927e-02 ... 1.5691011e-01
  4.2622678e-02 1.8149814e-01]
 ...
 [1.0819139e-08 2.8831815e-07 4.1320419e-07 ... 5.0431998e-07
  1.0577994e-06 1.1206274e-06]
 [9.3366592e-10 1.5135081e-09 1.4779564e-09 ... 1.9043944e-09
  1.8844575e-09 5.7721934e-09]
 [1.1087407e-09 1.2050031e-09 1.5539759e-09 ... 1.4601949e-09
  1.4163336e-09 4.6547846e-09]]",0.06163412,0.0022857354,2045.170990569343,1473946.2131194451,0.03679669373549884,0.03679669373549884,10.0,120.18531976744185
4,"Bad Bunny, Bomba Estéreo",14 Ojitos Lindos.wav,"[[3.4107100e-03 1.1381691e-03 4.2318804e-03 ... 7.5631328e-03
  2.6465754e-03 5.1432587e-02]
 [6.2388545e-03 1.2026629e-01 1.5933076e-02 ... 1.7832173e-02
  1.6050136e-02 5.5043880e-02]
 [4.3888673e-02 2.4131379e+00 3.1715360e+00 ... 5.7509863e-01
  6.0544962e-01 8.1978399e-01]
 ...
 [1.0805900e-08 5.4553482e-07 2.3702070e-07 ... 2.7079844e-07
  3.1223288e-07 4.9501114e-07]
 [1.7659864e-09 1.6767790e-09 1.8658139e-09 ... 2.0802227e-09
  1.2156148e-09 7.5579898e-09]
 [1.2161336e-09 1.6661393e-09 1.7034892e-09 ... 1.6415153e-09
  1.0182554e-09 6.6816290e-09]]",0.084226035,8.366467e-05,1145.0554856670433,193486.8200836264,0.032762425681554526,0.032762425681554526,10.0,103.359375
5,"Bad Bunny, Chencho Corleone",03 Me Porto Bonito.wav,"[[2.50731362e-04 6.42524287e-03 1.78159885e-02 ... 3.57148796e-01
  5.54123104e-01 1.74200967e-01]
 [1.39566612e-06 2.55202362e-03 1.14237135e-02 ... 2.12367296e+00
  7.45500505e-01 5.67482471e-01]
 [3.73850089e-05 1.44692487e-04 1.80589985e-02 ... 5.30427158e-01
  9.04920697e-01 1.92707956e+00]
 ...
 [1.19941079e-09 1.43781165e-09 4.86565055e-09 ... 3.06998991e-05
  2.84650432e-05 3.98123848e-05]
 [1.03193154e-09 1.23333155e-09 1.33152811e-09 ... 3.96742443e-08
  1.05065450e-08 1.58952940e-08]
 [8.47507287e-10 1.27928657e-09 1.24166444e-09 ... 1.26760047e-09
  1.35928757e-09 3.76522724e-09]]",0.03647206,0.00038844923,3153.8459782716354,1168652.759844566,0.06394671729988399,0.06394671729988399,10.0,123.046875
6,"Bad Bunny, Rauw Alejandro",11 Party.wav,"[[3.4770975e-03 3.7747633e-03 6.3010538e-03 ... 3.1352505e-02
  1.6549565e-02 2.0987603e-01]
 [1.9162513e-01 1.0502888e+00 1.1436921e-01 ... 4.0442336e-01
  8.4129430e-02 9.6614033e-01]
 [1.1598043e+00 4.2440844e+00 6.7407811e-01 ... 1.5297561e+00
  2.4655004e-01 2.1693056e+00]
 ...
 [3.4172177e-07 1.0342421e-07 5.3854291e-07 ... 3.3383705e-07
  3.2389215e-07 4.8938961e-07]
 [4.6145057e-09 1.1660499e-09 1.8465122e-09 ... 1.7959756e-09
  1.4007923e-09 1.5176363e-09]
 [1.0563498e-09 1.1819195e-09 1.3015921e-09 ... 1.0759327e-09
  1.3642339e-09 1.6082496e-09]]",0.054228697,0.001065286,3089.20331665716,485835.30051292136,0.09189203886310905,0.09189203886310905,10.0,97.50884433962264
7,Beyoncé,01 BREAK MY SOUL.wav,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.1988854e-03
  3.9136037e-03 2.4813583e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.1179594e-02
  4.0430058e-02 7.4531108e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.6324835e-01
  1.8991350e-01 2.5373325e-01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.8681946e-09
  2.3321913e-09 8.5700538e-07]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.8285538e-09
  2.0925375e-09 8.2963578e-07]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.1022684e-09
  2.6901075e-09 8.1541447e-07]]",0.024277974,0.002117637,622.6442175887925,1324712.1289956593,0.01896479843387471,0.01896479843387471,10.0,129.19921875
8,Brent Faiyaz,01 VILLAIN'S THEME.wav,"[[2.21819664e-06 8.74010766e-07 1.96552664e-05 ... 4.30944469e-03
  1.60814452e+00 1.02199059e+02]
 [9.00638781e-07 2.41086332e-06 1.76093690e-05 ... 1.96558726e-03
  8.57457638e+00 5.61263855e+02]
 [1.13784722e-07 1.81391943e-06 1.50590984e-06 ... 7.72018405e-03
  1.05746984e+01 2.71000305e+02]
 ...
 [2.21690644e-09 2.60324184e-09 1.49272128e-09 ... 6.59019594e-09
  7.79155140e-09 1.31794536e-07]
 [1.34074751e-09 1.33004041e-09 1.56450386e-09 ... 1.36999034e-09
  1.61235825e-09 1.20947661e-07]
 [1.33294742e-09 1.12062093e-09 1.71857806e-09 ... 1.50173163e-09
  1.18651655e-09 1.16980345e-07]]",0.058386773,0.006455554,515.0138015110907,514278.16271923,0.011116045533642692,0.011116045533642692,10.0,132.51201923076923
9,Brent Faiyaz,02 LOOSE CHANGE.wav,"[[0.0000000e+00 8.8685766e-08 4.9525197e-04 ... 9.4893272e-05
  3.8629392e-04 3.7400280e-03]
 [0.0000000e+00 1.3602101e-07 1.7605943e-03 ... 5.9493963e-05
  2.1858934e-04 3.8974497e-03]
 [0.0000000e+00 1.6299818e-07 1.3940299e-03 ... 9.1012953e-05
  3.0847942e-04 6.4957514e-03]
 ...
 [0.0000000e+00 7.6979230e-12 1.7357384e-09 ... 1.7013022e-09
  2.2673514e-09 1.3877155e-09]
 [0.0000000e+00 4.3648405e-12 1.1113069e-09 ... 1.1661238e-09
  1.8189462e-09 1.4403846e-09]
 [0.0000000e+00 5.0889098e-12 1.4926526e-09 ... 1.3098568e-09
  1.2080666e-09 1.4041502e-09]]",0.055395465,0.0013809628,728.6655435067123,34112.21501218557,0.02562400304524362,0.02562400304524362,10.0,126.04801829268293
