Song_name,Cluster label,artist popularity,popularity,valence,danceability,modes,India,Mexico,Sweden,USA,mel,rms(mean),rms(var),sc(mean),sc(var),zcr(mean),zcr(var),duration,bpm
Pasoori,3,66,85,0.669,0.714,0,1,0,0,0,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.1416484e+02
  3.0519809e+02 3.2382434e+02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.2330821e+02
  3.3643759e+02 3.0082343e+02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 8.8874016e+01
  5.4759884e+01 5.4971516e+01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.4346691e-09
  2.6144824e-09 4.5786455e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.4584606e-09
  1.9977362e-09 4.1956860e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.6801398e-09
  3.3777221e-09 3.0304019e-09]]",0.103207566,0.006812382,1602.4896138774145,2664804.769876837,0.0240093030427631,0.0025417131531291,30.0,117.45383522727272
NO LOVE,3,68,82,0.733,0.771,0,1,0,0,0,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.6575884e-03
  3.7996080e-02 1.6725330e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.0489923e-02
  2.0008091e-02 2.0067520e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.0105913e-02
  2.5345014e-02 4.1520316e-03]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.2430504e-09
  4.8686646e-09 4.7460365e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.2360993e-09
  3.4010756e-09 3.0563208e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.9626964e-09
  2.2810407e-09 3.1271423e-09]]",0.12176501,0.0044286116,1453.3094746368615,1049037.9443476107,0.0343115839057662,0.0006970401014669,30.0,135.99917763157896
295,3,80,82,0.432,0.557,0,1,0,0,0,"[[0.0000000e+00 3.3929434e-10 1.3724954e-07 ... 7.3756080e+00
  7.4995065e+00 8.0634089e+00]
 [0.0000000e+00 1.0824620e-10 4.3710514e-07 ... 2.4086000e+01
  2.1016233e+01 1.9867802e+01]
 [0.0000000e+00 2.7609238e-11 1.6725771e-06 ... 3.7043270e+01
  3.4341606e+01 3.6464859e+01]
 ...
 [0.0000000e+00 3.2503264e-11 5.6551003e-10 ... 3.3627998e-09
  3.4693814e-09 3.0564915e-09]
 [0.0000000e+00 5.3440290e-11 4.0175954e-10 ... 5.3833880e-09
  2.0724833e-09 3.1790781e-09]
 [0.0000000e+00 6.1426704e-11 4.7037235e-10 ... 3.4024483e-09
  2.7214391e-09 2.0611672e-09]]",0.069944926,0.0020140314,2459.359031068342,2118254.726978882,0.0536931749467879,0.0014029068271899,30.0,117.45383522727272
Excuses,3,74,82,0.494,0.837,0,1,0,0,0,"[[0.0000000e+00 0.0000000e+00 5.0189664e-10 ... 8.3460266e+01
  4.5573189e+01 2.3434542e+01]
 [0.0000000e+00 0.0000000e+00 2.6877850e-10 ... 3.3486061e+01
  1.8867523e+01 9.3648987e+00]
 [0.0000000e+00 0.0000000e+00 5.0305253e-11 ... 6.4022460e+00
  6.1091429e-01 1.4466451e-01]
 ...
 [0.0000000e+00 0.0000000e+00 7.2782759e-11 ... 2.8045468e-09
  2.3997562e-09 4.7129252e-09]
 [0.0000000e+00 0.0000000e+00 1.0433411e-10 ... 3.4280856e-09
  3.4585754e-09 3.4226553e-09]
 [0.0000000e+00 0.0000000e+00 9.3574024e-11 ... 2.7637954e-09
  3.0859693e-09 3.0532925e-09]]",0.18129887,0.014955349,2588.402876743198,1263533.1641061746,0.0764126142850232,0.0021849171180301,30.0,95.703125
Left and Right (Feat. Jung Kook of BTS),3,83,94,0.719,0.881,1,1,0,0,0,"[[0.0000000e+00 4.0452419e-10 7.6411645e-08 ... 6.7270984e+02
  7.6109851e+02 2.9724280e+02]
 [0.0000000e+00 1.3981005e-10 4.6495182e-07 ... 1.8887777e+03
  4.7121301e+02 6.1531427e+02]
 [0.0000000e+00 6.7591641e-11 1.2020080e-06 ... 5.3806451e+02
  2.2423320e+02 3.1533200e+02]
 ...
 [0.0000000e+00 9.4454639e-11 1.7645354e-09 ... 1.6087856e-06
  7.2635025e-08 1.7662026e-07]
 [0.0000000e+00 8.9500379e-11 1.4999122e-09 ... 3.2307028e-07
  1.3180220e-07 3.2240882e-07]
 [0.0000000e+00 9.2876977e-11 1.0465889e-09 ... 6.1488885e-07
  9.8846385e-08 2.4431500e-07]]",0.21466953,0.015608145,2074.44276728836,1843465.6132867355,0.038840279121517,0.0013093159287863,30.0,101.33272058823528
The Last Ride,3,80,81,0.638,0.792,0,1,0,0,0,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.3380614e+01
  3.6033442e+00 9.4716817e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.6430631e+00
  2.4978254e+00 9.5474881e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.0665411e+00
  1.0026546e+00 6.5020460e-01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.1866453e-09
  2.2369511e-09 1.8606375e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.0560271e-09
  3.0188529e-09 2.8183567e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.4080091e-09
  3.3048064e-09 2.9830520e-09]]",0.062491585,0.010105737,2276.834899598145,4293458.28602183,0.0495057475087074,0.0038485598502845,30.0,89.10290948275862
"Pathala Pathala (From ""Vikram"")",5,81,78,0.936,0.826,1,1,0,0,0,"[[6.0896355e-10 2.6646556e-09 2.6837916e-09 ... 1.2354478e+03
  6.8817615e+02 1.3454276e+03]
 [4.3366732e-10 2.5730156e-11 1.6542182e-10 ... 1.0828093e+03
  5.1865619e+02 1.3622667e+03]
 [5.0293401e-11 1.3885056e-11 5.6735682e-11 ... 2.6151349e+02
  7.5962976e+02 2.2595747e+02]
 ...
 [1.6990900e-10 2.8990507e-10 9.2739660e-10 ... 8.4301686e-09
  3.1821643e-09 3.3613938e-09]
 [1.3879890e-10 3.1813863e-10 1.2435116e-09 ... 7.9360039e-09
  5.2766436e-09 3.9824286e-09]
 [1.7521938e-10 3.8501913e-10 1.2107696e-09 ... 5.9814549e-09
  3.7810346e-09 3.7869974e-09]]",0.18402153,0.015394327,3093.852045754502,2561128.0494266124,0.0686541577979876,0.0049147356962949,30.0,129.19921875
Vikram - Title Track,3,81,80,0.145,0.638,0,1,0,0,0,"[[7.3627959e-10 2.5665043e-09 1.0534506e-08 ... 2.1324115e+02
  2.0233780e+02 2.4557454e+02]
 [5.3284110e-10 1.2514829e-09 8.6796508e-09 ... 3.2712442e+02
  3.6161584e+02 4.5915421e+02]
 [6.5510444e-11 2.0138047e-09 3.9150860e-09 ... 7.0216522e+01
  5.2784473e+01 8.7955322e+01]
 ...
 [4.3011994e-10 1.4359803e-09 2.2054185e-09 ... 3.1448311e-09
  3.2179912e-09 2.8743035e-09]
 [3.0132433e-10 1.9261339e-09 2.7764602e-09 ... 3.7873185e-09
  4.9341065e-09 2.9344618e-09]
 [4.4032938e-10 1.7487568e-09 2.8673313e-09 ... 2.8639318e-09
  3.0298681e-09 3.0515199e-09]]",0.22257046,0.009729663,2084.114462810375,3684863.535117229,0.0365931271768575,0.0056727703439949,30.0,166.70866935483872
Chaand Baaliyan,3,62,80,0.886,0.729,1,1,0,0,0,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 5.3490199e-02
  2.2524986e-02 4.0925503e-02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 8.8260368e-02
  2.8132111e-02 1.8922803e-01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 6.4691466e-01
  4.5529941e-01 4.2647609e-01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.7728346e-09
  3.3155965e-09 3.0027913e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.5634159e-09
  3.8518739e-09 4.2911958e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.0556104e-09
  2.7759828e-09 2.4454498e-09]]",0.1369016,0.006533214,1905.3681575397115,1949192.5567776004,0.0306237755176083,0.0012969804409256,30.0,123.046875
"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",3,81,80,0.625,0.608,1,1,0,0,0,"[[0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 4.4288998e+01
  6.0384277e+01 4.1453098e+01]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 1.4225281e+02
  1.8132411e+02 1.3687407e+02]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.8544624e+01
  7.7101707e+01 7.9731766e+01]
 ...
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 2.5983873e-09
  3.2861334e-09 3.2928682e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.9880046e-09
  3.3017937e-09 2.7275713e-09]
 [0.0000000e+00 0.0000000e+00 0.0000000e+00 ... 3.9319685e-09
  2.2063460e-09 1.8469077e-09]]",0.17359336,0.008750196,2488.900216257289,1225228.2782580063,0.0388863861745356,0.0015854647142231,30.0,123.046875
