artist,artist popularity,name,popularity,valence,danceability,modes
Shae Gill,66,Pasoori,85,0.669,0.714,0
Shubh,68,NO LOVE,82,0.733,0.771,0
Sidhu Moose Wala,80,295,82,0.432,0.557,0
AP Dhillon,74,Excuses,82,0.494,0.837,0
Charlie Puth,83,Left and Right (Feat. Jung Kook of BTS),94,0.719,0.881,1
Sidhu Moose Wala,80,The Last Ride,81,0.638,0.792,0
Anirudh Ravichander,81,"Pathala Pathala (From ""Vikram"")",78,0.936,0.826,1
Anirudh Ravichander,81,Vikram - Title Track,80,0.145,0.638,0
Aditya A,62,Chaand Baaliyan,80,0.886,0.729,1
Anirudh Ravichander,81,"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",80,0.625,0.608,1
King,66,Tu Aake Dekhle,79,0.192,0.77,1
Sidhu Moose Wala,80,Levels,79,0.577,0.592,1
Harry Styles,93,As It Was,94,0.662,0.52,0
Shubh,68,WE ROLLIN,79,0.278,0.816,0
Pritam,82,Bhool Bhulaiyaa 2 Title Track,67,0.845,0.857,0
Glass Animals,80,Heat Waves,91,0.531,0.761,1
Tanishk Bagchi,75,"Raataan Lambiyan (From ""Shershaah"")",78,0.512,0.72,1
Sachet-Parampara,64,"Maiyya Mainu (From ""Jersey"")",78,0.224,0.63,1
Joji,86,Glimpse of Us,99,0.268,0.44,1
Ali Zafar,61,Jhoom - R&B Mix,75,0.617,0.662,1
Anirudh Ravichander,81,"Dippam Dappam (From ""Kaathuvaakula Rendu Kaadhal"")",76,0.772,0.827,0
Kanishk Seth,59,"Rangisari (From ""Jugjugg Jeeyo"")",72,0.319,0.524,1
One Direction,83,Night Changes,87,0.37,0.672,1
Jasleen Royal,65,"Ranjha (From ""Shershaah"")",77,0.236,0.603,1
Sidhu Moose Wala,80,SYL,75,0.594,0.628,0
Anirudh Ravichander,81,Once Upon a Time,77,0.429,0.646,1
Sidhu Moose Wala,80,Never Fold (feat. Sunny Malton),78,0.797,0.814,0
Elley Duhé,74,MIDDLE OF THE NIGHT,93,0.0899,0.41,0
Pritam,82,"Kesariya Audio Teaser (From ""Brahmastra"")",77,0.465,0.56,1
Pritam,82,"Kesariya Audio Teaser (From ""Brahmastra"")",77,0.465,0.56,1
Anirudh Ravichander,81,"Private Party (From ""Don"")",75,0.896,0.862,0
The Kid LAROI,83,STAY (with Justin Bieber),88,0.478,0.591,1
Sid Sriram,73,"Kaadhal En Kaviye - From ""Salmon 3D""",72,0.396,0.625,1
Vishal Mishra,65,"Kaise Hua (From ""Kabir Singh"")",69,0.15,0.385,1
Pritam,82,Hum Nashe Mein Toh Nahin,65,0.778,0.572,1
Alka Yagnik,73,"Agar Tum Saath Ho (From ""Tamasha"")",70,0.415,0.562,1
Mitraz,61,Akhiyaan,76,0.0683,0.724,1
Dhibu Ninan Thomas,59,"Adiye - From ""Bachelor""",76,0.548,0.709,0
Alec Benjamin,76,Let Me Down Slowly,84,0.483,0.652,0
Sidhu Moose Wala,80,Everybody Hurts,77,0.575,0.738,1
Neeti Mohan,69,Meri Jaan,75,0.693,0.745,0
Ravi Basrur,65,Mehabooba,63,0.278,0.367,0
Yasser Desai,66,"Dil Ko Karaar Aaya (From ""Sukoon"")",76,0.388,0.55,1
Anirudh Ravichander,81,"Jalabulajangu (From ""Don"")",75,0.457,0.635,0
Pritam,82,Shayad,72,0.319,0.483,1
AP Dhillon,74,Insane,76,0.304,0.796,0
Dikshant,55,Aankhon Se Batana,74,0.335,0.544,1
BTS,92,Run BTS,89,0.696,0.724,1
Kavita Seth,64,Rangi Saari,74,0.268,0.613,1
Sia,82,Unstoppable,80,0.26,0.468,1
