artist,artist popularity,name,popularity,valence,danceability,modes
Martín Vizcarra,0,Mi Bebito Fiu Fiu,0,0.677,0.742,0
Lasso,68,Ojos Marrones,81,0.72,0.809,0
Kate Bush,82,Running Up That Hill (A Deal With God),97,0.197,0.629,0
Joji,86,Glimpse of Us,99,0.268,0.44,1
Fresto Music,44,Me Hace Daño Verte,61,0.935,0.721,1
Julión Álvarez y su Norteño Banda,78,Pongámonos De Acuerdo,78,0.976,0.758,1
Julión Álvarez y su Norteño Banda,78,Ojos Verdes,77,0.923,0.787,1
Julión Álvarez y su Norteño Banda,78,Terrenal,75,0.609,0.581,0
Musical Youth,67,Pass The Dutchie,84,0.966,0.805,1
Julión Álvarez y su Norteño Banda,78,Y Así Fue,75,0.974,0.731,1
Julión Álvarez y su Norteño Banda,78,Te Hubieras Ido Antes,75,0.966,0.723,1
Metallica,81,Master Of Puppets,82,0.56,0.543,0
Julión Álvarez y su Norteño Banda,78,El Amor De Su Vida,74,0.875,0.676,1
Grupo Frontera,50,No Se Va,63,0.692,0.594,1
Julión Álvarez y su Norteño Banda,78,Como Este Cabrón,68,0.965,0.853,1
Julión Álvarez y su Norteño Banda,78,Que Daría,68,0.643,0.661,0
Bad Bunny,100,Ojitos Lindos,98,0.268,0.647,0
Julión Álvarez y su Norteño Banda,78,Afuera Está Lloviendo,74,0.615,0.724,1
MoonDeity,58,NEON BLADE,76,0.893,0.548,1
Sufjan Stevens,69,Fourth of July,80,0.162,0.435,0
Sebastian Llosa,47,Alguien Más,66,0.789,0.825,1
Dave Bolaño,49,Me Levanté,63,0.962,0.716,1
Julión Álvarez y su Norteño Banda,78,Esta Noche Se Me Olvida,70,0.806,0.701,1
Stephen Sanchez,73,Until I Found You,91,0.227,0.539,1
Julión Álvarez y su Norteño Banda,78,La Sonrisa Obligatoria,69,0.725,0.77,1
Mau y Ricky,73,Llorar y Llorar - con Carin Leon,77,0.368,0.62,1
Julión Álvarez y su Norteño Banda,78,Dime,68,0.668,0.623,1
Julión Álvarez y su Norteño Banda,78,Y Me Da Vergüenza,71,0.961,0.796,1
Victor Cibrian,67,En El Radio Un Cochinero,84,0.965,0.696,0
Banda Elemental de Mazatlán Sinaloa,52,Una Raya Más al Tigre,71,0.965,0.877,0
Julión Álvarez y su Norteño Banda,78,Corazón Mágico,69,0.957,0.645,1
Bad Bunny,100,Tití Me Preguntó,98,0.187,0.65,0
Feid,83,Ferxxo 100,83,0.577,0.701,0
Bad Bunny,100,Me Porto Bonito,100,0.425,0.911,0
JVKE,70,this is what falling in love feels like - Leon Leiden Remix,69,0.55,0.412,1
Journey,74,Separate Ways (Worlds Apart) - Bryce Miller/Alloy Tracks Remix,80,0.0668,0.43,1
Julión Álvarez y su Norteño Banda,78,Y Tú - Ranchera,70,0.959,0.717,1
Bizarrap,81,"Villano Antillano: Bzrp Music Sessions, Vol. 51",86,0.423,0.82,0
Julión Álvarez y su Norteño Banda,78,A Dónde Quiera Que Vaya,69,0.699,0.627,1
El Burger,49,No tienes motivacion,68,0.89,0.937,1
Natatyson,42,Por Ti,60,0.825,0.866,1
Bad Bunny,100,Efecto,96,0.234,0.801,0
Morat,81,Yo Más Te Adoro,59,0.811,0.486,1
Julión Álvarez y su Norteño Banda,78,Olvídame,69,0.961,0.761,1
La Receta,50,Serafín Zambada,68,0.862,0.806,1
Julión Álvarez y su Norteño Banda,78,Ni Lo Intentes,67,0.962,0.692,1
Seafret,65,Atlantis,82,0.213,0.4,0
Julión Álvarez y su Norteño Banda,78,Decide Tú,68,0.642,0.639,1
Paloma Faith,70,Only Love Can Hurt Like This,87,0.304,0.566,1
Julión Álvarez y su Norteño Banda,78,Y Me Pregunto,63,0.856,0.741,1
