,Song_name,Cluster label,artist popularity,popularity,valence,danceability,modes,India,Mexico,Sweden,USA
0,Pasoori,4,66,85,0.669,0.7140000000000001,0,1,0,0,0
1,NO LOVE,4,68,82,0.733,0.7709999999999999,0,1,0,0,0
2,295,4,80,82,0.43200000000000005,0.557,0,1,0,0,0
3,Excuses,4,74,82,0.494,0.8370000000000001,0,1,0,0,0
4,Left and Right (Feat. Jung Kook of BTS),4,83,94,0.7190000000000001,0.8809999999999999,1,1,0,0,0
5,The Last Ride,4,80,81,0.638,0.792,0,1,0,0,0
6,"Pathala Pathala (From ""Vikram"")",4,81,78,0.9359999999999999,0.826,1,1,0,0,0
7,Vikram - Title Track,4,81,80,0.145,0.638,0,1,0,0,0
8,Chaand Baaliyan,4,62,80,0.8859999999999999,0.7290000000000001,1,1,0,0,0
9,"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",4,81,80,0.625,0.608,1,1,0,0,0
10,Tu Aake Dekhle,4,66,79,0.192,0.77,1,1,0,0,0
11,Levels,4,80,79,0.5770000000000001,0.5920000000000001,1,1,0,0,0
12,As It Was,4,93,94,0.662,0.52,0,1,0,0,0
13,WE ROLLIN,4,68,79,0.278,0.816,0,1,0,0,0
14,Bhool Bhulaiyaa 2 Title Track,4,82,67,0.845,0.857,0,1,0,0,0
15,Heat Waves,4,80,91,0.531,0.7609999999999999,1,1,0,0,0
16,"Raataan Lambiyan (From ""Shershaah"")",4,75,78,0.512,0.72,1,1,0,0,0
17,"Maiyya Mainu (From ""Jersey"")",4,64,78,0.22399999999999998,0.63,1,1,0,0,0
18,Glimpse of Us,4,86,99,0.268,0.44,1,1,0,0,0
19,Jhoom - R&B Mix,4,61,75,0.617,0.662,1,1,0,0,0
20,"Dippam Dappam (From ""Kaathuvaakula Rendu Kaadhal"")",4,81,76,0.772,0.8270000000000001,0,1,0,0,0
21,"Rangisari (From ""Jugjugg Jeeyo"")",4,59,72,0.319,0.524,1,1,0,0,0
22,Night Changes,4,83,87,0.37,0.672,1,1,0,0,0
23,"Ranjha (From ""Shershaah"")",4,65,77,0.23600000000000002,0.603,1,1,0,0,0
24,SYL,4,80,75,0.594,0.628,0,1,0,0,0
25,Once Upon a Time,4,81,77,0.429,0.6459999999999999,1,1,0,0,0
26,Never Fold (feat. Sunny Malton),4,80,78,0.797,0.8140000000000001,0,1,0,0,0
27,MIDDLE OF THE NIGHT,4,74,93,0.0899,0.41,0,1,0,0,0
28,"Kesariya Audio Teaser (From ""Brahmastra"")",4,82,77,0.465,0.56,1,1,0,0,0
29,"Kesariya Audio Teaser (From ""Brahmastra"")",4,82,77,0.465,0.56,1,1,0,0,0
30,"Private Party (From ""Don"")",4,81,75,0.8959999999999999,0.862,0,1,0,0,0
31,STAY (with Justin Bieber),4,83,88,0.478,0.591,1,1,0,0,0
32,"Kaadhal En Kaviye - From ""Salmon 3D""",4,73,72,0.396,0.625,1,1,0,0,0
33,"Kaise Hua (From ""Kabir Singh"")",4,65,69,0.15,0.385,1,1,0,0,0
34,Hum Nashe Mein Toh Nahin,4,82,65,0.778,0.5720000000000001,1,1,0,0,0
